comment,channel,video_url,comment_en,sentiment
तथ्य र प्रमाण बिनाको अभिव्यक्तिलाई गलत नै अभिव्यक्ति हो भन्न चाहिँ खुलेर कुरा राख्न सक्नु पर्छ है IDS Media Network का मित्रहरू; चाहे त्यो अभिव्यक्ति भूलवश वा सुनियोजित ढङ्गले कुनै पनि व्यक्ति अथवा देशको लोकप्रिय नेता-प्रधानमन्त्री कै मुखारविन्दु बाट नै किन न निक्लिएको होस् एउटा साँचो राष्ट्रप्रेमी नेपाली जनताले सदैव यस्तो राष्ट्रिय हितलाई आघात पुर्‍याउने भनाई र अभिव्यक्ति विरुद्ध प्रश्न गर्न सक्ने मुटु राख्नु आवश्यक छ नत्र भारतका अन्धभक्त गोदी मिडिया र नेपाली मिडियामा केही भिन्नता रहने छैन।🙏,IDSMediaNetwork,https://www.youtube.com/watch?v=U2jbDkyGWx4,"Friends of IDS Media Network, you should be able to openly say that an expression without facts and evidence is a wrong expression. Regardless of whether the expression is mistakenly or purposefully issued by any person or the mouthpiece of the country's popular leader-Prime Minister, a true patriot of Nepali people must always have a heart to question such statements and expressions that hurt the national interest, otherwise there will be no difference between India's blind Godi media and Nepali media.🙏",neutral
I didn't find any mistake on Balen statement. He said Nepal le pani india ko jamin micheko raixa yeslai yesari bujam if voli gayerw india le nepal le ka jamin micheko xa vanerw khojdai ayo re tesma kolai faida ?answer:nepal lai.coz kai pani proof xaina nepal le india ko jamin micheko vanera ultai nepal lai faida xa kalapani lipulekh hamrai jamin ho vanne ta proof xa ni hami snga haina?plus i have a feeling ur congress supporter?,WhySoOffended,https://www.youtube.com/watch?v=QeLbM6LdLBA,I didn't find any mistake on Balen statement. He said Nepal le pani india ko jamin micheko raixa yeslai yesari bujam if voli gayerw india le nepal le ka jamin micheko xa vanerw khojdai ayo re tesma kolai faida ?answer:nepal lai.coz kai pani proof xaina nepal le india ko jamin micheko vanera ultai nepal lai faida xa kalapani lipulekh hamrai jamin ho vanne ta proof xa ni hami snga haina?plus i have a feeling ur congress supporter?,positive
"Hora balenko jholeyy, rspko geda chatney patrakarrr",TheNepaliComment,https://www.youtube.com/watch?v=ryhQNybiElQ,"hora balenko jholeyy, rspko geda chatney patrakarrr",negative
Tanak dahal vrasta vadkaune ek sabda Bolna jaruri thiena Ali buddhi vaera Pani saskar ramro chaina. Timile dieko matra prman an balen le dieko prman bethik   nee thik Ali nepali ko havi bata afno sabda charna gari murkha vrasta Janata vaeko desh ma kasari bolne Ali alert hune ki Sirf popularity matra nasocne ki??,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,Tanak dahal vrasta vadkaune ek sabda Bolna jaruri thiena Ali buddhi vaera Pani saskar ramro chaina. Timile dieko matra prman an balen le dieko prman bethik nee thik Ali nepali ko havi bata afno sabda charna gari murkha vrasta Janata vaeko desh ma kasari bolne Ali alert hune ki Sirf popularity matra nasocne ki??,positive
Andha bhakta lai jay hos😂😂😂,KhojSamachar,https://www.youtube.com/watch?v=COGGc-UvlaI,Blind devotee brought jay hos,negative
"प्रतिपक्षीलाई आफ्नै ज्यानको माया छैन कि के?
घण्टीमा भोट हाल्ने सबै नेपाली सडकमा आउनुपर्‍यो भने देखाइदिन्छौँ—एआई एल्गोरिदम के हो, जनता के हो।
हर्के र एमालेलाई यहीँबाट चेतावनी दिन्छु।",News24Nepal,https://www.youtube.com/watch?v=ZuMOJjCsthA,"Does the opponent not love his own life?
If all the Nepalis who cast their votes in the bell come to the streets, we will show them what the AI ​​algorithm is, what the people are.
Here is a warning to Harke and UML.",positive
हाेइन राजेन्द्र  दाजु हामिले जितेछु भने के गल्ती  भया त । केनेपालि परतन्त्रहुनु पर्ने हाेल।,Kछ Nepal,https://www.youtube.com/watch?v=Kp2sVewoQWA,"No, brother Rajendra, if we won, what went wrong? Kanepali should be independent.",neutral
Chaca main Hindu Huan Ghar chale Jao  buda pa main  aaram karo,Kछ Nepal,https://www.youtube.com/watch?v=Kp2sVewoQWA,Chaca main Hindu Huan Ghar chale jao buda pa main aaram karo,neutral
प्र धान मन्त्री  बालेन्द् साहा काे असभाबिक र गयरजिम्मे बारि अभिबेक्ति,Samacharpati,https://www.youtube.com/watch?v=eTb8SyZun1M,Prime Minister Balend Saha's statement regarding non-attendance and irresponsibility,negative
Haha machikney bahun asti samma tw bolinas vanisa tw jailey hamro michyo matra bhanis ani ailey balen le j vanda ni support gardai aauxas alik sajak patrakarita gar,TheNepaliComment,https://www.youtube.com/watch?v=ryhQNybiElQ,Haha machikney bahun asti samma tw bolinas vanisa tw jailey hamro michyo matra bhanis ani ailey balen le j vanda ni support gardai aauxas alik sajak patrakarita gar,negative
