comment,channel,video_url,comment_en,sentiment
हेलो म्याडम। दुईजनाको झगडामा example तपाईँ र तपाईंको श्रीमानको झगडा भयो। दुईजनाले डिभोर्स हुने फैसलामा पुग्नुभयो। तपाईहरु डिभोर्स फाइल गर्न अदालत तेस्रो स्थानमा किन जानुहुन्छ हो त्यही तेस्रो स्थान अदालतको काम गर्ने भनेको तेस्रो देश हो जो ब्रिटिश हो। तेस्रो मात्र होइन चौथो पनि हुनुपर्छ। त्यहाँ चाइना पनि आउनुपर्छ किनकि नेपाल भारतको सीमा बारेमा चाइनालाई पनि थाहा छ।। जसरी तपाईँहरू लोग्ने स्वास्नीको डिभोर्सका लागि साँच्ची प्रमाण छिमेकीलाई लानुहुन्छ नि त्यसरी नै यसलाई तेस्रो देश नलगिकन मिल्दैन । यो कमेन्ट हेर्दैछौ भनेदेखिन बुझ्नु राम्रो। म्याडम।,Kछ Nepal,https://www.youtube.com/watch?v=Kp2sVewoQWA,"Hello madam. In a fight between two people, for example, you and your husband had a fight. The two decided to divorce. Why do you go to a third place court to file a divorce? The third place court is a third country which is British. Not only the third but also the fourth. China should also come there because China also knows about the border between Nepal and India. Just as you bring the real evidence to the neighbor for the divorce of the husband's wife, it cannot be done without going to a third country. less of it",negative
"OJ (Over Janne) hunu ko natija ho.
Aba Balen is smart and people around him are smart, so they'll try to correct their mistake and then later on portray it as a strategic plan to achieve a certain goal and will make it appear as if it was intentional.
But in reality, I think the strategy was to make a fool out of the ministers protesting for P.M's presence to address and answer their questions, by not giving them any time to  prepare questions implying the fact that the ministers should already have the questions, but it backfired cause Balen himself was also not prepared and was not confident in the way he was addressing the issues and on top of that he made a blunder.

Regardless of what had happened, there are rules and regulations for a reason.
Also I would like to address the issue that, Balen's absence from the parliament is also affecting the works of government as the  opposing members are continuously disrupting the parliament's work everyday.",IDSMediaNetwork,https://www.youtube.com/watch?v=U2jbDkyGWx4,"OJ (Over Janne) hunu ko natija ho.
Aba Balen is smart and people around him are smart, so they'll try to correct their mistake and then later on portray it as a strategic plan to achieve a certain goal and will make it appear as if it was intentional.
But in reality, I think the strategy was to make a fool out of the ministers protesting for P.M's presence to address and answer their questions, by not giving them any time to  prepare questions implying the fact that the ministers should already",negative
एकदम सही भनुभो सरोबर जी नेपाल र भारतको विषयमा  १००मा ९५% भूमि भारतले मिचिएको छन्।  नेपाली भूभाग  भने नेपालले भारतको भूभाग ५% मात्रै मिसिएका छन्।  त्यही भएर भारत चुपचाप बसेका थिए।  ३०ौं वर्षदेखि कुरा उठाउँदै आउँदा पनि  अहिलेसम्म कुनै पनि सम्झौता गर्नु भारत नआएपछि  अहिलेको वर्तमान प्रधानमन्त्री बालेन शाहले  नयाँ रणनीतिक उपायको  नेपालले पनि भारतको भूमि मिचेको छ भन्ने बित्तिकै भारत सरकार तातिन्छ  भारतीय जनता तातिन्छन्  अनि भारत नेपालसँग अनि हाम्रो भूमि फिर्ता लेउ भन्न आउँछ।  अनि त्यही बेला हो सम्झौता गर्ने  नेपालले मिचिएको भूमि तिमीहरू फिर्ता लैजाउ  र तिमीहरूले मिचिएको भूमि हामीलाई फिर्ता देउ भन्ने  बालेन शाहको प्रस्ताव  हो नत्र भने भारत कहिले पनि नेपालसँग सम्झौता गर्न आउँदैन। त्यही भएर सम्झौता गर्नु र सीमाको बारेमा कुटनीति पहल चार्नका लागि प्रधानमन्त्री बालेन शाहले राम्रो  कुरा राख्नुभएको हो  नेपाली भेडा जनताहरू + विपक्षी दल को कुकुर कार्यकर्ता ले कुरा नबुझी विरोध गर्न थालेछन् । सबलाई अनुरोध छ बुझ्नुस् पहिला  अनि विरोध गर्नुस्।,KhojSamachar,https://www.youtube.com/watch?v=COGGc-UvlaI,"Very correct Bhanubho Sarobar ji on the subject of Nepal and India 95% of the land out of 100 has been destroyed by India.  Nepali territory is only 5% of India's territory.  That is why India remained silent.  Even though we have been raising the issue since the 30th year, since India has not come to any agreement, as soon as the current Prime Minister Balen Shah says that Nepal has also encroached on India's land with a new strategic measure, the Indian government will be heated, the Indian people will be heated and India will come to Nepal and say take back our land.  And that's when the agreement is made",negative
"Strange - he is somehow proving that he has Madhese ancestors.  He should know that India got whole for free from British - it also has roots of Mahatma Gandhi's loin cloth, however, India is big and doing well.",KhojSamachar,https://www.youtube.com/watch?v=45rp5GC0tcQ,"Strange - he is somehow proving that he has Madhese ancestors.  He should know that India got whole for free from British - it also has roots of Mahatma Gandhi's loin cloth, however, India is big and doing well.",negative
माफि होइन राजिनामा दिएर देश बेच्ने गोप्य योजनाको बारेमा छानविन हुनु पर्छ ।,Samacharpati,https://www.youtube.com/watch?v=eTb8SyZun1M,"There should be an investigation into the secret plan to sell the country, not an apology but a resignation.",negative
Nepalle varatki jamin hadapna sainik takat hunu parछ waihatko kuro balenle garyo. Aba dhotile ajha Nepalko vuvag miचने भयो।,GSMediaNetwork,https://www.youtube.com/watch?v=YcBSKgWFGXA,Nepal varatki guarantee future sainik takat hunu parch waihatko kuro balenle garyo. Aba dhotile ajha Nepalko vuvag Michne happened.,negative
"nahhh balen might be unprofessional but harke is way below unprofessional, he acts like a toddler",IDSMediaNetwork,https://www.youtube.com/watch?v=U2jbDkyGWx4,"nahhh balen might be unprofessional but harke is way below unprofessional, he acts like a toddler",negative
Madesh KO manxe harulai sodh pahadi haru lai kehi thaxaina,WhySoOffended,https://www.youtube.com/watch?v=QeLbM6LdLBA,Madesh KO manxe harulai sodh pahadi haru lai kehi thaxaina,negative
Balen is king Narendar modi is afraid 👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻🫡🫡🫡🫡🫡🫡🫡🫡,KhojSamachar,https://www.youtube.com/watch?v=45rp5GC0tcQ,Balen is king Narendra modi is afraid,negative
जसलाई देशको माया लाग्दैन तिनीहरूले आफूले जितेको ठाउँको बारेमा त्यहाँको समस्याको बारेमा भन्ने हो नि। के एउटा कुरा गर्देको थियो त्यसैको पछि लाग्या छ सबै तिमीहरू जति कराए कराउ ऊ भनेको अलग छ झुक्ने कुरामा झुक्छ पनि न झुक्ने कुरामा झुक्दै झुक्दैन। जनताले बनाएको सरकार हो जब जनताले सुन्दैन भने तिमीहरू भुक्दै गर ऊ काम  गरिरहन्छ।,News24Nepal,https://www.youtube.com/watch?v=ZuMOJjCsthA,"Those who do not love their country will talk about the problems of the land they conquered. What one thing was done is followed by all of you. The government is made by the people, when the people don't listen, you keep barking at them and they will continue to work.",negative
