comment,channel,video_url
"थुक्का थुक्का, अलिकति पढेलेखेको भए पो थाहा हुने कुरा हो। के गर्‍यो हौ, प्रधानमन्त्रीले देश पूरै बेचे जस्तो गरेका छन्। कसले गरेको देश दलाल? तिम्रा बा केपी ओलीहरूले।
बोलेर मात्रै राष्ट्रवाद हुँदैन, थुक्का। एक्सनमा देखिनुपर्छ। तिम्रा बा हरूले कहिले भारतसँग कूटनीतिक वार्ता गरे? डरपोकहरू?
फ्याक्ट बोलेको हो, गवार। एड्युकेटेड, पीएचडी स्कलर हो, हामी तिमीभन्दा शिक्षित राष्ट्रवादी हौँ हाम्रो प्रधानमन्त्री।
गएर न्युज हेर kantipur ko, आज कति भिडियो आएको छ, दशगजामा दुवै तर्फबाट मिचेको छ भनेर, तर आर्मीले होइन, त्यहाँका स्थानीयले मित्रतापूर्वक मिचेका हुन्, युद्ध गर्ने होइन।
प्रधानमन्त्रीले साथी जसरी मिलेर भारत भए भारतको, नेपाल भए नेपालको भन्नु भएको छ।
त्यत्रो पूरा भाषण सुनिस् प्रधानमन्त्रीको कि एउटा शब्द सुनेर भुक्न आएको? बुझ्नुपर्छ पहिले।
झन् सम्मान बढेको छ, हामीलाई फ्याक्ट बोलेको हो। अब तीन देशको टेबल टक हुन्छ, लिपुलेक नेपालको हुन्छ र दशगजामा प्रमाण अनुसार नेपालको भए नेपालकै, भारतको भए भारतकै हुन्छ भन्ने यही हो।
गवार, तिमी खोक्रा राष्ट्रवादीहरूको झोलेहरू।",KantipurTV,https://www.youtube.com/watch?v=7XaHoexB7rQ
"कोशी, गण्डकी र महाकाली सम्झौतामार्फत देश बेच्नेहरू तथा MCC गर्नेहरू यति धेरै वर्षसम्म शासनमा रहँदा देशको सीमा समस्याको समाधान गर्न सकेनन्। न त उनीहरूले यस विषयलाई अन्तर्राष्ट्रियकरण गर्न सके।

योगी नरहरिनाथजीहरूले त्यसैबेला उठाउनुभएको  yo मुद्दालाई अदालतले स्वागत गरेको थियो। यो विषयलाई अन्तर्राष्ट्रियकरण गर्नुपर्छ र अन्तर्राष्ट्रिय कानुनबमोजिम नेपालले टिस्टादेखि कांगडासम्मको भूभाग प्राप्त गर्न सक्ने आधारबारे सुनुवाइ हुनुपर्छ। तर SPP समर्थक र MCC पक्षधरहरू अहिले सीमा विवादलाई अन्तर्राष्ट्रियकरण गर्ने कुराको विरोध गरिरहेका छन्, मूर्खहरूले अज्ञानीहरूले.
इतिहासमा पहिलो पटक सुगौली सन्धि खारेज गरी नेपालले पुनः टिस्टादेखि कांगडासम्म पुग्ने सन्दर्भ सुरु भएको छ। बेलायतको सहभागिता आवश्यक छैन भन्दै अन्तर्राष्ट्रियकरणको बाटो रोक्न खोज्नेहरू पुरानै सोचका मानिस हुन्, जहाँ साहस र दूरदृष्टिको अभाव देखिन्छ।

अहिलेसम्म महाकाली, कोशी र गण्डकी बेच्नेहरू तथा MCC गर्नेहरूले राष्ट्रवादको कुरा गर्नु लाजास्पद।
हाम्रा प्रधानमन्त्रीले कूटनीतिक रणनीतिअन्तर्गत कुरा गर्नुभएको हो, तर त्यो कुरा केही मानिसहरूले नबुझेर गलत व्याख्या गरिरहेका छन्। दशगजामा नेपाल र भारत दुवै पक्षबाट पहिलेदेखि नै अतिक्रमण भएको सन्दर्भलाई उहाँले उल्लेख गर्नुभएको हो। तर देश बेचुवा कम्युनिस्ट, कांग्रेस तथा केही अन्य व्यक्तिहरूले भ्रम फैलाउँदै त्यसको गलत अर्थ लगाएका छन्।",KantipurTV,https://www.youtube.com/watch?v=7XaHoexB7rQ
Balen is India agent,KantipurTV,https://www.youtube.com/watch?v=7XaHoexB7rQ
"Yo Sab Gaja,Charesh ko Kamaal ho😆🤣
Kunai Naulo Namannu hola😆🤣🤣🤣",KantipurTV,https://www.youtube.com/watch?v=7XaHoexB7rQ
सबै भन्दा सुरुमा नेपालले नी मिचेको छ भन्ने तिमी हरूनै हैनौ?? आफूले भनेको कुरा आफै फेर्न लाग्यौ।। थुक्क तिमी हरूको पत्रुकारिता।।,KantipurTV,https://www.youtube.com/watch?v=7XaHoexB7rQ
"थुक्का थुक्का, अलिकति पढेलेखेको भए पो थाहा हुने कुरा हो। के गर्‍यो हौ, प्रधानमन्त्रीले देश पूरै बेचे जस्तो गरेका छन्। कसले गरेको देश दलाल? तिम्रा बा केपी ओलीहरूले।
बोलेर मात्रै राष्ट्रवाद हुँदैन, थुक्का। एक्सनमा देखिनुपर्छ। तिम्रा बा हरूले कहिले भारतसँग कूटनीतिक वार्ता गरे? डरपोकहरू?

फ्याक्ट बोलेको हो, गवार। एड्युकेटेड, पीएचडी स्कलर हो, हामी तिमीभन्दा शिक्षित राष्ट्रवादी हौँ हाम्रो प्रधानमन्त्री।
गएर न्युज हेर kantipur ko, आज कति भिडियो आएको छ, दशगजामा दुवै तर्फबाट मिचेको छ भनेर, तर आर्मीले होइन, त्यहाँका स्थानीयले मित्रतापूर्वक मिचेका हुन्, युद्ध गर्ने होइन।
प्रधानमन्त्रीले साथी जसरी मिलेर भारत भए भारतको, नेपाल भए नेपालको भन्नु भएको छ।

त्यत्रो पूरा भाषण सुनिस् प्रधानमन्त्रीको कि एउटा शब्द सुनेर भुक्न आएको? बुझ्नुपर्छ पहिले।
झन् सम्मान बढेको छ, हामीलाई फ्याक्ट बोलेको हो। अब तीन देशको टेबल टक हुन्छ, लिपुलेक नेपालको हुन्छ र दशगजामा प्रमाण अनुसार नेपालको भए नेपालकै, भारतको भए भारतकै हुन्छ भन्ने यही हो।

गवार, तिमी खोक्रा राष्ट्रवादीहरूको झोलेहरू।",KantipurTV,https://www.youtube.com/watch?v=7XaHoexB7rQ
"अहिले बिकास बिरोधिहरुले बालेनले खोके पनि राजिनामा, नबोलेपनी राजिनामा, सत्य बोले पनि राजिनामा, जेगरे पनि राजीनामा मागी रहेका छन्  jungali haru le । यिनिहरुले जसरी पनि सरकारको बिरोध गरेर सरकारलाई कमजोर बनाउन खोजिरहेका छन । किनकि यिनिहरु बालेन सरकारको एकपछि अर्को राम्रो कामबाट आत्तिएका छन । बालेन सरकार आएदेखी यिनिहरुले देश लुट्न पाएका छैनन्  त्यसैले बालेन सरकारको  हरेक राम्रो कामको बिरोध गर्दैछन । अब हामीले जतिसक्दो बालेन शाहको समर्थन गर्नु पर्छ । jungali sakina laka tme dalal hatyara communist haru",KantipurTV,https://www.youtube.com/watch?v=7XaHoexB7rQ
❤❤,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g
Ekdam chitta bujne kura garnu vo,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g
hats up to you,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g
❤,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g
Thousands of cancer patients including my mother  in Nepal are struggling because essential medicines like cisplatin are running out. Please help bring awareness to this issue. 🙏,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g
"जय हाेस,यथारथपरक तथथेबिबरण बिबरणसाथ जानकरि दिनु भयकाेमा लाख सलुट छ टङकदाहालजिला।बिगतमा काङगेस,यमालेहरुले मातर नभयर सरकारि करमचारिसमेतले अाफनाे देश लुटाङयकाे छरलङग छ।जनताहरुले सततेबिबरण दियकाेमा जनताला पनि लाख सलुट छ,के पि अाेलि,माधब,गिरिजा,बि पि हरुले देश बेचेकाे किताबमा पनि पढियकाे थियाे।भारतले हाकाहाकि मिचदा पनि उदासिनता र थाहा नपाय जसताे गरि देश लुटायका पुराना सरकार र दलहरुकाे कुकरम मिठाे तरिकाले उजागर गरिदिनु भयाे।भारतकाे खुटटामा लमपसारबाद र लुकायर रकम लिने,भतता बुझने र जनताला देखाउन भारतला गालिगरे जसता नाटक गरने अपराधि दलका नेताहरुले गरेकाे छरलङग भयाे।",TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g
"यो कुरा  cross-border occupation  होइन है ,सही शब्द cross-border property वा straddling property हो,यहाँ कुनै कब्जा (occupation) भएको होइन, केवल सिमाना पछि एउटै घर/जग्गा दुई देशमा पर्ने अवस्था हो, शब्द सही प्रयोग गरौँ भने बुझाइ अझ स्पष्ट हुन्छ।
Cross border occupation vaneko kunai एक देशले अर्को देशको भूमिमा कब्जा वा नियन्त्रण गर्ने विषय ho ,alik dhyan dinus tanka sir",TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g
जय नेपाल पत्रकार ज्यु नमस्कार,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g
Iq=0 sabee ko aj ko vanda sixit rachan ho ansu barma ko pala ma,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g
"बालेन सरकारको बिकास उपलब्धी राम्रा कामहरु यस प्रकार छन्।
१. सुकुम्बासी गरीब जनताहरूको घर टहरा भत्काउने
२. नेपालले पनि धेरै ठाउँमा भारतको भु-भाग मिचेको छ। बालेन ज्यूले राष्ट्रघाती अभिव्यक्ति गर्नु?
३. विद्यार्थीहरुको SEE परीक्षामा जफत गरिएका मोबाइल फोन पानीमा डुबाएर नष्ट गर्ने काम।
४. जनताले दुई छाक टार्न चलाईरहेका टेम्पो भिरबाट खसालिदिनु।
५. ज्याला मजदुरी गर्ने गरीब जनताहरूको ज्याला दर पैसा नबढाउने बालेन सरकारले कर बढाएर सुकुम्बासी गरीब जनताहरू रूवाबासी गर्ने? रास्वपा बालेन सरकारको धेरै नै राम्रो काम? GOOD JOB 👏",TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g
Yo kuro sahi hoo,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g
patrakarita vaneko yo po hota salute🙏,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g
"नेपाल र इन्डिया बीचको सिमाना छुट्याउने सम्बन्धमा जति सुकै छलफल गरे पनि नेपालको भूमि इन्डियाले छोड्ने छैन । नेपाल सानाे छ सके सिक्किम जस्तै निल्ने नसके च्याप्दै लिने । नेपालको भूमि कायम गराउनको लागि बेलायतलाई उपस्थिति गराउनै पर्छ। सके छिमेकी देश चीनलाई पनि सहभागी गराउनु राम्रो हुन्छ । नेपालका नेता भनाउदा थोत्रा चपली झोले,सेबक राष्ट्रघाती, दलाल,भ्रष्टाचारी, आदि अपराधी बे जिम्मेवार लुटेराहरुको हातमा राज्य सत्ता पर्दै आएकोले इन्डियाको मनोबल  ले दबाउन सक्छु भन्ने आत्मविश्वास उनीहरूको दिमागमा छ । दलालको हातमा राज्य सत्ता पर्नु भनेको देश र जनताप्रति बे जिम्मेवार भएको परिणाम देखिनु हो। देशको भूमि गुमाउँदै जानुको साथै विकासको नाउमा जनताको निजी हक अधिकारको घर टहरा जग्गा जमिन माथि मापदण्ड, अतिक्रमकारी को समेत आरोप लगाउँदै डोजरले पेल्दै वर्वाद गर्नु नै परिचय दिनु हाे। त्यस्ता प्रजातंत्र,लोकतंत्र,गणतन्त्रवादी भनाउँदा राष्ट्रघाती , भ्रष्टाचारी, लुटेरा दलाल हरुकै पछि पछि लाग्ने झोले हरुले बाहेक अरुले तारिफ गर्ने छैन जय जेन z शहीद",TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g
"अहिले सम्म हेरेको सीमा अतिक्रमण सम्बन्धिको विश्लेषण मध्ये हजुरको मात्र ठीक लाग्यो, धन्यवाद टंक दाइ हजुरको निष्पक्ष छानवीन र विश्लेषणका लागि।🙏",TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g
सुगौली सन्धि नै हेरौ । 😊,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g
इंडिया सरकार मुर्दावाद,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g
Tanka sir ABA nepalmai kehi garnu parxa aunus,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g
"Right कुरा गर्नुभयो Tanka sir  nepal भारत को सम्बन्ध गहिरो छ, त्यसकारण यो सम्बन्ध ma आच naaune गरि कुटनीतिक हिसाबले अगाडि badnu ठीक होला l धेरै धेरै धन्यवाद तपाईँलाई yeti धेरै प्रमाण सहित prastyanu भएको ma 🫡🫡",TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g
harekey mug kaha xa,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g
❤❤,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g
बालेनको सल्लाहकार चाइ तपाईं हुनु पर्ने,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g
बदाइछजएनेपाल,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g
जेबोलनुहुनछसतेबपनुहुनछतेइबिसबसस्ातहेरिनछ,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g
मैलेहेरेकोथिइनतेइभएरहेरिआजेठ२९गते,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g
कुनचाइसाइटमसरछबुजनखोजेकोथेएइसपसटबुजाउनुभोटटङकसरधेरैधेरैधनेबाद,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g
तआफइहेरतरमलाइआबसेकछैनधे,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g
Much needed news,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g
🔥,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g
❤,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g
Sahi vonnuvayo badhai xa.❤    ❤,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g
जानकारी मुलक,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g
👍️👍️👍️👍️👍️👍️,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g
लिड सर,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g
I was waiting for this tweet thank you Tanka ji,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g
Yes tanka ji your talk is 100 % right . . .,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g
मिचे पनि नमिचे पनि कुनै पनि देशको राष्ट्र प्रमुखले हाम्रो देश पनि अर्को देशमा सिमा मिचेका छौँ कहिले पनि भन्दैन।,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g
"I have great respect for your impartial journalism Tanka Sir .If a person cannot speak the truth, they should not speak untruths either.",TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g
"Hello Tanka sir, I have an urgency with you. How to contact you? It's very urgent. Please.",TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g
Chuta Madeira jholla ghante ko,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g
इन्डिया जस्तो छिमेकी देश हुनुभन्दा न हुनु बेस बरु मर्न तयार छौँ तर एक इन्च जमिन थुन्ने वाला छैन,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g
White House for captain balan gantie,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g
Jay Nepal 🇳🇵🇳🇵,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g
Good luck sar,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g
"धन्यवाद टंकजी,  बिपक्षी शांसदहरूले संशद अवराेध नगरेर अव कुटनैतिक माध्यमबाट भारत संगकाे शिमा बिवाद समाधान गर्न बालेनकाे सरकारलाइ सहयाेग गर्नु देश हितमा हुन जान्छ । अाशीर्वाद ।",TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g
Great job.....,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g
हामीले त् बुजिराछम यो कुरा पागल हर्के र एमाले कांग्रेस को झोले सांसद हरुलाई कोर्रा हानी हानी बुजाउनु पर्यो टंक दाजु 😂😂🙏🏻🙏🏻👍🏻,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g
junsukai kurako pani prasta aafno bhanai rakhne dahal jee saxmam patrakar hun,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g
Ho rahay xa,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g
Thank you for sharing this informative video.,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g
"Khai kata kata rasopako jhole po lagna thalyo 😅…
Pm galti garne ani uha haru jogaauna lagne .",TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g
Fantastic news Tanka G,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g
❤❤❤,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g
"कुरो र कुलो जता लगेनी हुने रैछ । बालेनको ठाउँमा अरु पुराना नेता भए छेरुन्जेल संसदमा गलत बोल्यो भनेर हाइलाइट गर्थ्यो, अहिले बालेनले गलत बोल्यो भन्न सकेन । भनेको कुरा ठिक छ सबै तर मान्छे लाई कता ढल्काउने, आक्रोशित बनाउने वा कन्भिन्स गराउने सबै चलाखिपुर्वक भिडियो बनाएको छ । सबैभन्दा खतरा तिमीहरुबाट छ । तिमिहरु स्वतन्त्र हुनै सक्दैनौ ।",TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g
Last ma bujiyo balen KO bachau😅,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g
