comment,channel,video_url,comment_en,sentiment
"थुक्का थुक्का, अलिकति पढेलेखेको भए पो थाहा हुने कुरा हो। के गर्‍यो हौ, प्रधानमन्त्रीले देश पूरै बेचे जस्तो गरेका छन्। कसले गरेको देश दलाल? तिम्रा बा केपी ओलीहरूले।
बोलेर मात्रै राष्ट्रवाद हुँदैन, थुक्का। एक्सनमा देखिनुपर्छ। तिम्रा बा हरूले कहिले भारतसँग कूटनीतिक वार्ता गरे? डरपोकहरू?
फ्याक्ट बोलेको हो, गवार। एड्युकेटेड, पीएचडी स्कलर हो, हामी तिमीभन्दा शिक्षित राष्ट्रवादी हौँ हाम्रो प्रधानमन्त्री।
गएर न्युज हेर kantipur ko, आज कति भिडियो आएको छ, दशगजामा दुवै तर्फबाट मिचेको छ भनेर, तर आर्मीले होइन, त्यहाँका स्थानीयले मित्रतापूर्वक मिचेका हुन्, युद्ध गर्ने होइन।
प्रधानमन्त्रीले साथी जसरी मिलेर भारत भए भारतको, नेपाल भए नेपालको भन्नु भएको छ।
त्यत्रो पूरा भाषण सुनिस् प्रधानमन्त्रीको कि एउटा शब्द सुनेर भुक्न आएको? बुझ्नुपर्छ पहिले।
झन् सम्मान बढेको छ, हामीलाई फ्याक्ट बोलेको हो। अब तीन देशको टेबल टक हुन्छ, लिपुलेक नेपालको हुन्छ र दशगजामा प्रमाण अनुसार नेपालको भए नेपालकै, भारतको भए भारतकै हुन्छ भन्ने यही हो।
गवार, तिमी खोक्रा राष्ट्रवादीहरूको झोलेहरू।",KantipurTV,https://www.youtube.com/watch?v=7XaHoexB7rQ,"Thukka Thukka, if you read a little, you would know. What have you done, the Prime Minister has acted as if he has sold the entire country. Who did the country broker? Your father KP Oli.
Nationalism is not just talk, spit. Must be seen in action. When did your parents hold diplomatic talks with India? Cowards?
The fact is spoken, Gawar. Educated, PhD scholar, we are more educated nationalists than you, our Prime Minister.
Go and see the news kantipur ko, how many videos have come today, that Dashagama has been broken from both sides, but the army has",negative
"कोशी, गण्डकी र महाकाली सम्झौतामार्फत देश बेच्नेहरू तथा MCC गर्नेहरू यति धेरै वर्षसम्म शासनमा रहँदा देशको सीमा समस्याको समाधान गर्न सकेनन्। न त उनीहरूले यस विषयलाई अन्तर्राष्ट्रियकरण गर्न सके।

योगी नरहरिनाथजीहरूले त्यसैबेला उठाउनुभएको  yo मुद्दालाई अदालतले स्वागत गरेको थियो। यो विषयलाई अन्तर्राष्ट्रियकरण गर्नुपर्छ र अन्तर्राष्ट्रिय कानुनबमोजिम नेपालले टिस्टादेखि कांगडासम्मको भूभाग प्राप्त गर्न सक्ने आधारबारे सुनुवाइ हुनुपर्छ। तर SPP समर्थक र MCC पक्षधरहरू अहिले सीमा विवादलाई अन्तर्राष्ट्रियकरण गर्ने कुराको विरोध गरिरहेका छन्, मूर्खहरूले अज्ञानीहरूले.
इतिहासमा पहिलो पटक सुगौली सन्धि खारेज गरी नेपालले पुनः टिस्टादेखि कांगडासम्म पुग्ने सन्दर्भ सुरु भएको छ। बेलायतको सहभागिता आवश्यक छैन भन्दै अन्तर्राष्ट्रियकरणको बाटो रोक्न खोज्नेहरू पुरानै सोचका मानिस हुन्, जहाँ साहस र दूरदृष्टिको अभाव देखिन्छ।

अहिलेसम्म महाकाली, कोशी र गण्डकी बेच्नेहरू तथा MCC गर्नेहरूले राष्ट्रवादको कुरा गर्नु लाजास्पद।
हाम्रा प्रधानमन्त्रीले कूटनीतिक रणनीतिअन्तर्गत कुरा गर्नुभएको हो, तर त्यो कुरा केही मानिसहरूले नबुझेर गलत व्याख्या गरिरहेका छन्। दशगजामा नेपाल र भारत दुवै पक्षबाट पहिलेदेखि नै अतिक्रमण भएको सन्दर्भलाई उहाँले उल्लेख गर्नुभएको हो। तर देश बेचुवा कम्युनिस्ट, कांग्रेस तथा केही अन्य व्यक्तिहरूले भ्रम फैलाउँदै त्यसको गलत अर्थ लगाएका छन्।",KantipurTV,https://www.youtube.com/watch?v=7XaHoexB7rQ,"Those who sold the country through the Koshi, Gandaki and Mahakali agreements and those who did the MCC could not solve the border problem of the country when they were in power for so many years. Nor could they internationalize the subject.

Yogi Narharinathji's case raised at that time was welcomed by the court. This issue should be internationalized and there should be a hearing on the grounds on which Nepal can acquire the territory from Teesta to Kangra according to international law. But SPP supporters and MCC supporters are now internationalizing the border dispute",negative
Balen is India agent,KantipurTV,https://www.youtube.com/watch?v=7XaHoexB7rQ,Balen is India's agent,neutral
"Yo Sab Gaja,Charesh ko Kamaal ho😆🤣
Kunai Naulo Namannu hola😆🤣🤣🤣",KantipurTV,https://www.youtube.com/watch?v=7XaHoexB7rQ,"All of you are playing, Charesh is getting success😆🤣
Kunai Naulo Namannu hola😆🤣🤣🤣",positive
सबै भन्दा सुरुमा नेपालले नी मिचेको छ भन्ने तिमी हरूनै हैनौ?? आफूले भनेको कुरा आफै फेर्न लाग्यौ।। थुक्क तिमी हरूको पत्रुकारिता।।,KantipurTV,https://www.youtube.com/watch?v=7XaHoexB7rQ,"First of all, are you not the one who said that Nepal has destroyed you?? You started to change what you said. Spit on your correspondence.",negative
"थुक्का थुक्का, अलिकति पढेलेखेको भए पो थाहा हुने कुरा हो। के गर्‍यो हौ, प्रधानमन्त्रीले देश पूरै बेचे जस्तो गरेका छन्। कसले गरेको देश दलाल? तिम्रा बा केपी ओलीहरूले।
बोलेर मात्रै राष्ट्रवाद हुँदैन, थुक्का। एक्सनमा देखिनुपर्छ। तिम्रा बा हरूले कहिले भारतसँग कूटनीतिक वार्ता गरे? डरपोकहरू?

फ्याक्ट बोलेको हो, गवार। एड्युकेटेड, पीएचडी स्कलर हो, हामी तिमीभन्दा शिक्षित राष्ट्रवादी हौँ हाम्रो प्रधानमन्त्री।
गएर न्युज हेर kantipur ko, आज कति भिडियो आएको छ, दशगजामा दुवै तर्फबाट मिचेको छ भनेर, तर आर्मीले होइन, त्यहाँका स्थानीयले मित्रतापूर्वक मिचेका हुन्, युद्ध गर्ने होइन।
प्रधानमन्त्रीले साथी जसरी मिलेर भारत भए भारतको, नेपाल भए नेपालको भन्नु भएको छ।

त्यत्रो पूरा भाषण सुनिस् प्रधानमन्त्रीको कि एउटा शब्द सुनेर भुक्न आएको? बुझ्नुपर्छ पहिले।
झन् सम्मान बढेको छ, हामीलाई फ्याक्ट बोलेको हो। अब तीन देशको टेबल टक हुन्छ, लिपुलेक नेपालको हुन्छ र दशगजामा प्रमाण अनुसार नेपालको भए नेपालकै, भारतको भए भारतकै हुन्छ भन्ने यही हो।

गवार, तिमी खोक्रा राष्ट्रवादीहरूको झोलेहरू।",KantipurTV,https://www.youtube.com/watch?v=7XaHoexB7rQ,"Thukka Thukka, if you read a little, you would know. What have you done, the Prime Minister has acted as if he has sold the entire country. Who did the country broker? Your father KP Oli.
Nationalism is not just talk, spit. Must be seen in action. When did your parents hold diplomatic talks with India? Cowards?

The fact is spoken, Gawar. Educated, PhD scholar, we are more educated nationalists than you, our Prime Minister.
Go and see the news kantipur ko, how many videos have come today, that Dashagaja has been broken from both sides, but the army",negative
"अहिले बिकास बिरोधिहरुले बालेनले खोके पनि राजिनामा, नबोलेपनी राजिनामा, सत्य बोले पनि राजिनामा, जेगरे पनि राजीनामा मागी रहेका छन्  jungali haru le । यिनिहरुले जसरी पनि सरकारको बिरोध गरेर सरकारलाई कमजोर बनाउन खोजिरहेका छन । किनकि यिनिहरु बालेन सरकारको एकपछि अर्को राम्रो कामबाट आत्तिएका छन । बालेन सरकार आएदेखी यिनिहरुले देश लुट्न पाएका छैनन्  त्यसैले बालेन सरकारको  हरेक राम्रो कामको बिरोध गर्दैछन । अब हामीले जतिसक्दो बालेन शाहको समर्थन गर्नु पर्छ । jungali sakina laka tme dalal hatyara communist haru",KantipurTV,https://www.youtube.com/watch?v=7XaHoexB7rQ,"Now the opponents of development are asking for resignation even if they cough, resign even if they don't speak, resign even if they speak the truth, even if they are demanding resignation jungali haru le. They are trying to weaken the government by opposing the government. Because they are frightened by one good work of Balen government. They have not been able to loot the country since the Balen government came, so they are opposing every good work of the Balen government. Now we have to support Balen Shah as much as possible. jungali sakina laka tme dalal hatyara communist har",negative
Ekdam chitta bujne kura garnu vo,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,Where should I write a single letter?,neutral
hats up to you,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,hats up to you,positive
Thousands of cancer patients including my mother  in Nepal are struggling because essential medicines like cisplatin are running out. Please help bring awareness to this issue. 🙏,TankaDahal,https://www.youtube.com/watch?v=FqyGil9SZ9g,Thousands of cancer patients including my mother  in Nepal are struggling because essential medicines like cisplatin are running out. Please help bring awareness to this issue. 🙏,negative
